"","interaction_name","pathway_name","ligand","receptor","agonist","antagonist","co_A_receptor","co_I_receptor","evidence","annotation","interaction_name_2"
"BMP6_ACVR1_BMPR2","BMP6_ACVR1_BMPR2","BMP","Bmp6","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Acvr1+Bmpr2)"
"BMP6_BMPR1A_ACVR2A","BMP6_BMPR1A_ACVR2A","BMP","Bmp6","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Acvr2a)"
"BMP6_BMPR1A_ACVR2B","BMP6_BMPR1A_ACVR2B","BMP","Bmp6","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Acvr2b)"
"BMP6_BMPR1A_BMPR2","BMP6_BMPR1A_BMPR2","BMP","Bmp6","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1a+Bmpr2)"
"BMP6_BMPR1B_ACVR2A","BMP6_BMPR1B_ACVR2A","BMP","Bmp6","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1b+Acvr2a)"
"BMP6_BMPR1B_ACVR2B","BMP6_BMPR1B_ACVR2B","BMP","Bmp6","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1b+Acvr2b)"
"BMP6_BMPR1B_BMPR2","BMP6_BMPR1B_BMPR2","BMP","Bmp6","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp6  - (Bmpr1b+Bmpr2)"
"BMP7_ACVR1_ACVR2A","BMP7_ACVR1_ACVR2A","BMP","Bmp7","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Acvr1+Acvr2a)"
"BMP7_ACVR1_ACVR2B","BMP7_ACVR1_ACVR2B","BMP","Bmp7","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Acvr1+Acvr2b)"
"BMP7_ACVR1_BMPR2","BMP7_ACVR1_BMPR2","BMP","Bmp7","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Acvr1+Bmpr2)"
"BMP7_BMPR1A_ACVR2A","BMP7_BMPR1A_ACVR2A","BMP","Bmp7","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1a+Acvr2a)"
"BMP7_BMPR1A_ACVR2B","BMP7_BMPR1A_ACVR2B","BMP","Bmp7","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1a+Acvr2b)"
"BMP7_BMPR1A_BMPR2","BMP7_BMPR1A_BMPR2","BMP","Bmp7","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1a+Bmpr2)"
"BMP7_BMPR1B_ACVR2A","BMP7_BMPR1B_ACVR2A","BMP","Bmp7","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1b+Acvr2a)"
"BMP7_BMPR1B_ACVR2B","BMP7_BMPR1B_ACVR2B","BMP","Bmp7","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1b+Acvr2b)"
"BMP7_BMPR1B_BMPR2","BMP7_BMPR1B_BMPR2","BMP","Bmp7","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp7  - (Bmpr1b+Bmpr2)"
"BMP8B_ACVR1_ACVR2A","BMP8B_ACVR1_ACVR2A","BMP","Bmp8b","ACVR1_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Acvr1+Acvr2a)"
"BMP8B_ACVR1_ACVR2B","BMP8B_ACVR1_ACVR2B","BMP","Bmp8b","ACVR1_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Acvr1+Acvr2b)"
"BMP8B_ACVR1_BMPR2","BMP8B_ACVR1_BMPR2","BMP","Bmp8b","ACVR1_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Acvr1+Bmpr2)"
"BMP8B_BMPR1A_ACVR2A","BMP8B_BMPR1A_ACVR2A","BMP","Bmp8b","BMPR1A_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1a+Acvr2a)"
"BMP8B_BMPR1A_ACVR2B","BMP8B_BMPR1A_ACVR2B","BMP","Bmp8b","BMPR1A_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1a+Acvr2b)"
"BMP8B_BMPR1A_BMPR2","BMP8B_BMPR1A_BMPR2","BMP","Bmp8b","BMPR1A_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1a+Bmpr2)"
"BMP8B_BMPR1B_ACVR2A","BMP8B_BMPR1B_ACVR2A","BMP","Bmp8b","BMPR1B_ACVR2A","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1b+Acvr2a)"
"BMP8B_BMPR1B_ACVR2B","BMP8B_BMPR1B_ACVR2B","BMP","Bmp8b","BMPR1B_ACVR2B","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1b+Acvr2b)"
"BMP8B_BMPR1B_BMPR2","BMP8B_BMPR1B_BMPR2","BMP","Bmp8b","BMPR1B_BMPR2","","BMP antagonist","","BMP inhibition receptor","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Bmp8b  - (Bmpr1b+Bmpr2)"
"BMP10_ACVRL1_ACVR2A","BMP10_ACVRL1_ACVR2A","BMP10","Bmp10","ACVRL1_ACVR2A","","","BMP10 activation receptor","","KEGG: mmu04350; PMID:26893264; PMID: 25620979","Secreted Signaling","Bmp10  - (Acvrl1+Acvr2a)"
"GDF2_ACVRL1_ACVR2A","GDF2_ACVRL1_ACVR2A","BMP10","Gdf2","ACVRL1_ACVR2A","","","BMP10 activation receptor","","KEGG: mmu04350; PMID:26893264","Secreted Signaling","Gdf2  - (Acvrl1+Acvr2a)"
"GDF10_ACVR1B_ACVR2A","GDF10_ACVR1B_ACVR2A","GDF","Gdf10","ACVR1B_ACVR2A","","","","","KEGG: mmu04350","Secreted Signaling","Gdf10  - (Acvr1b+Acvr2a)"
"GDF11_TGFBR1_ACVR2A","GDF11_TGFBR1_ACVR2A","GDF","Gdf11","TGFBR1_ACVR2A","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Tgfbr1+Acvr2a)"
"GDF11_TGFBR1_ACVR2B","GDF11_TGFBR1_ACVR2B","GDF","Gdf11","TGFBR1_ACVR2B","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Tgfbr1+Acvr2b)"
"GDF11_ACVR1B_ACVR2B","GDF11_ACVR1B_ACVR2B","GDF","Gdf11","ACVR1B_ACVR2B","","","","","KEGG: mmu04350","Secreted Signaling","Gdf11  - (Acvr1b+Acvr2b)"
"MSTN_TGFBR1_ACVR2B","MSTN_TGFBR1_ACVR2B","MSTN","Mstn","TGFBR1_ACVR2B","","","","","KEGG: mmu04060","Secreted Signaling","Mstn  - (Tgfbr1+Acvr2b)"
"MSTN_ACVR1B_ACVR2B","MSTN_ACVR1B_ACVR2B","MSTN","Mstn","ACVR1B_ACVR2B","","","","","KEGG: mmu04060","Secreted Signaling","Mstn  - (Acvr1b+Acvr2b)"
"MSTN_ACVR1B_ACVR2A","MSTN_ACVR1B_ACVR2A","MSTN","Mstn","ACVR1B_ACVR2A","","","","","KEGG: mmu04060","Secreted Signaling","Mstn  - (Acvr1b+Acvr2a)"
"MSTN_TGFBR1_ACVR2A","MSTN_TGFBR1_ACVR2A","MSTN","Mstn","TGFBR1_ACVR2A","","","","","KEGG: mmu04060","Secreted Signaling","Mstn  - (Tgfbr1+Acvr2a)"
"AMH_AMHR2_ACVR1","AMH_AMHR2_ACVR1","AMH","Amh","AMHR2_ACVR1","","","","","KEGG: mmu04060","Secreted Signaling","Amh  - (Amhr2+Acvr1)"
"AMH_AMHR2_BMPR1A","AMH_AMHR2_BMPR1A","AMH","Amh","AMHR2_BMPR1A","","","","","KEGG: mmu04060","Secreted Signaling","Amh  - (Amhr2+Bmpr1a)"
"PSPN_GFRA4","PSPN_GFRA4","GDNF","Pspn","GFRA4_RET","","","","","PMID: 11544105","Secreted Signaling","Pspn  - Gfra4"
"INHBB_ACVR1B_ACVR2A","INHBB_ACVR1B_ACVR2A","ACTIVIN","Inhbb","ACVR1B_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbb  - (Acvr1b+Acvr2a)"
"INHBB_ACVR1B_ACVR2B","INHBB_ACVR1B_ACVR2B","ACTIVIN","Inhbb","ACVR1B_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbb  - (Acvr1b+Acvr2b)"
"INHBB_ACVR1C_ACVR2A","INHBB_ACVR1C_ACVR2A","ACTIVIN","Inhbb","ACVR1C_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbb  - (Acvr1c+Acvr2a)"
"INHBB_ACVR1C_ACVR2B","INHBB_ACVR1C_ACVR2B","ACTIVIN","Inhbb","ACVR1C_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","KEGG: mmu04350","Secreted Signaling","Inhbb  - (Acvr1c+Acvr2b)"
"INHBABB_ACVR1B_ACVR2A","INHBABB_ACVR1B_ACVR2A","ACTIVIN","Activin AB","ACVR1B_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhbabb  - (Acvr1b+Acvr2a)"
"INHBABB_ACVR1B_ACVR2B","INHBABB_ACVR1B_ACVR2B","ACTIVIN","Activin AB","ACVR1B_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhbabb  - (Acvr1b+Acvr2b)"
"INHBABB_ACVR1C_ACVR2A","INHBABB_ACVR1C_ACVR2A","ACTIVIN","Activin AB","ACVR1C_ACVR2A","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhbabb  - (Acvr1c+Acvr2a)"
"INHB_ACVR1C_ACVR2B","INHB_ACVR1C_ACVR2B","ACTIVIN","Activin AB","ACVR1C_ACVR2B","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 2457849; PMID: 22991378","Secreted Signaling","Inhb  - (Acvr1c+Acvr2b)"
"INHABA_ACVR2A","INHABA_ACVR2A","ACTIVIN","Inhibin A","Acvr2a","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 15027884","Secreted Signaling","Inhaba  - Acvr2a"
"INHABB_ACVR2B","INHABB_ACVR2B","ACTIVIN","Inhibin B","Acvr2b","","ACTIVIN antagonist","","ACTIVIN inhibition receptor","PMID: 15027884","Secreted Signaling","Inhabb  - Acvr2b"
"WNT10B_FZD1_LRP5","WNT10B_FZD1_LRP5","WNT","Wnt10b","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd1+Lrp5)"
"WNT10B_FZD10_LRP5","WNT10B_FZD10_LRP5","WNT","Wnt10b","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd10+Lrp5)"
"WNT10B_FZD2_LRP5","WNT10B_FZD2_LRP5","WNT","Wnt10b","FZD2_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd2+Lrp5)"
"WNT10B_FZD3_LRP5","WNT10B_FZD3_LRP5","WNT","Wnt10b","FZD3_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd3+Lrp5)"
"WNT10B_FZD4_LRP5","WNT10B_FZD4_LRP5","WNT","Wnt10b","FZD4_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd4+Lrp5)"
"WNT10B_FZD5_LRP5","WNT10B_FZD5_LRP5","WNT","Wnt10b","FZD5_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd5+Lrp5)"
"WNT10B_FZD6_LRP5","WNT10B_FZD6_LRP5","WNT","Wnt10b","FZD6_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd6+Lrp5)"
"WNT10B_FZD7_LRP5","WNT10B_FZD7_LRP5","WNT","Wnt10b","FZD7_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd7+Lrp5)"
"WNT10B_FZD8_LRP5","WNT10B_FZD8_LRP5","WNT","Wnt10b","FZD8_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd8+Lrp5)"
"WNT10B_FZD9_LRP5","WNT10B_FZD9_LRP5","WNT","Wnt10b","FZD9_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd9+Lrp5)"
"WNT16_FZD1_LRP5","WNT16_FZD1_LRP5","WNT","Wnt16","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt16  - (Fzd1+Lrp5)"
"WNT16_FZD10_LRP5","WNT16_FZD10_LRP5","WNT","Wnt16","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt16  - (Fzd10+Lrp5)"
"WNT16_FZD2_LRP5","WNT16_FZD2_LRP5","WNT","Wnt16","FZD2_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt16  - (Fzd2+Lrp5)"
"WNT16_FZD3_LRP5","WNT16_FZD3_LRP5","WNT","Wnt16","FZD3_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt16  - (Fzd3+Lrp5)"
"WNT16_FZD4_LRP5","WNT16_FZD4_LRP5","WNT","Wnt16","FZD4_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt16  - (Fzd4+Lrp5)"
"WNT16_FZD5_LRP5","WNT16_FZD5_LRP5","WNT","Wnt16","FZD5_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt16  - (Fzd5+Lrp5)"
"WNT16_FZD6_LRP5","WNT16_FZD6_LRP5","WNT","Wnt16","FZD6_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt16  - (Fzd6+Lrp5)"
"WNT16_FZD7_LRP5","WNT16_FZD7_LRP5","WNT","Wnt16","FZD7_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt16  - (Fzd7+Lrp5)"
"WNT16_FZD8_LRP5","WNT16_FZD8_LRP5","WNT","Wnt16","FZD8_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt16  - (Fzd8+Lrp5)"
"WNT16_FZD9_LRP5","WNT16_FZD9_LRP5","WNT","Wnt16","FZD9_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt16  - (Fzd9+Lrp5)"
"WNT3A_FZD1_LRP5","WNT3A_FZD1_LRP5","WNT","Wnt3a","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3a  - (Fzd1+Lrp5)"
"WNT3A_FZD10_LRP5","WNT3A_FZD10_LRP5","WNT","Wnt3a","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3a  - (Fzd10+Lrp5)"
"WNT3A_FZD2_LRP5","WNT3A_FZD2_LRP5","WNT","Wnt3a","FZD2_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3a  - (Fzd2+Lrp5)"
"WNT3A_FZD3_LRP5","WNT3A_FZD3_LRP5","WNT","Wnt3a","FZD3_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3a  - (Fzd3+Lrp5)"
"WNT3A_FZD4_LRP5","WNT3A_FZD4_LRP5","WNT","Wnt3a","FZD4_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3a  - (Fzd4+Lrp5)"
"WNT3A_FZD5_LRP5","WNT3A_FZD5_LRP5","WNT","Wnt3a","FZD5_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3a  - (Fzd5+Lrp5)"
"WNT3A_FZD6_LRP5","WNT3A_FZD6_LRP5","WNT","Wnt3a","FZD6_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3a  - (Fzd6+Lrp5)"
"WNT3A_FZD7_LRP5","WNT3A_FZD7_LRP5","WNT","Wnt3a","FZD7_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3a  - (Fzd7+Lrp5)"
"WNT3A_FZD8_LRP5","WNT3A_FZD8_LRP5","WNT","Wnt3a","FZD8_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3a  - (Fzd8+Lrp5)"
"WNT3A_FZD9_LRP5","WNT3A_FZD9_LRP5","WNT","Wnt3a","FZD9_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt3a  - (Fzd9+Lrp5)"
"WNT8B_FZD1_LRP5","WNT8B_FZD1_LRP5","WNT","Wnt8b","FZD1_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd1+Lrp5)"
"WNT8B_FZD10_LRP5","WNT8B_FZD10_LRP5","WNT","Wnt8b","FZD10_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd10+Lrp5)"
"WNT8B_FZD2_LRP5","WNT8B_FZD2_LRP5","WNT","Wnt8b","FZD2_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd2+Lrp5)"
"WNT8B_FZD3_LRP5","WNT8B_FZD3_LRP5","WNT","Wnt8b","FZD3_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd3+Lrp5)"
"WNT8B_FZD4_LRP5","WNT8B_FZD4_LRP5","WNT","Wnt8b","FZD4_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd4+Lrp5)"
"WNT8B_FZD5_LRP5","WNT8B_FZD5_LRP5","WNT","Wnt8b","FZD5_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd5+Lrp5)"
"WNT8B_FZD6_LRP5","WNT8B_FZD6_LRP5","WNT","Wnt8b","FZD6_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd6+Lrp5)"
"WNT8B_FZD7_LRP5","WNT8B_FZD7_LRP5","WNT","Wnt8b","FZD7_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd7+Lrp5)"
"WNT8B_FZD8_LRP5","WNT8B_FZD8_LRP5","WNT","Wnt8b","FZD8_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd8+Lrp5)"
"WNT8B_FZD9_LRP5","WNT8B_FZD9_LRP5","WNT","Wnt8b","FZD9_LRP5","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt8b  - (Fzd9+Lrp5)"
"WNT10B_FZD1_LRP6","WNT10B_FZD1_LRP6","WNT","Wnt10b","FZD1_LRP6","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd1+Lrp6)"
"WNT10B_FZD10_LRP6","WNT10B_FZD10_LRP6","WNT","Wnt10b","FZD10_LRP6","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd10+Lrp6)"
"WNT10B_FZD2_LRP6","WNT10B_FZD2_LRP6","WNT","Wnt10b","FZD2_LRP6","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd2+Lrp6)"
"WNT10B_FZD3_LRP6","WNT10B_FZD3_LRP6","WNT","Wnt10b","FZD3_LRP6","WNT agonist","WNT antagonist","WNT activation receptor","WNT inhibition receptor","KEGG: mmu04310; PMID: 23209147","Secreted Signaling","Wnt10b  - (Fzd3+Lrp6)"
